GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
MiniSQL Master,com.minisql.master.balance,LoadBalancerConfig,0,48,0,0,0,16,0,8,0,8
MiniSQL Master,com.minisql.master.balance,MigrationState,5,122,4,28,1,22,4,17,0,3
MiniSQL Master,com.minisql.master.balance,MigrationPlan,0,64,0,0,0,14,0,7,0,7
MiniSQL Master,com.minisql.master.balance,MigrationException,0,29,0,0,0,11,0,5,0,5
MiniSQL Master,com.minisql.master.balance,LoadBalancer,16,108,3,7,7,35,4,8,1,6
MiniSQL Master,com.minisql.master.balance,MigrationTask,58,132,1,13,8,39,6,22,5,16
MiniSQL Master,com.minisql.master.balance,RegionMigrationManager,3,0,0,0,1,0,1,0,1,0
MiniSQL Master,com.minisql.master,MasterServer.new MasterElection.MasterStateListener() {...},32,0,0,0,10,0,3,0,3,0
MiniSQL Master,com.minisql.master,MasterServer,348,0,30,0,101,0,24,0,9,0
MiniSQL Master,com.minisql.master.metadata,RegionMetadata,92,181,15,23,13,45,18,23,5,17
MiniSQL Master,com.minisql.master.metadata,TableMetadata,71,70,8,2,12,22,13,7,8,7
MiniSQL Master,com.minisql.master.metadata,RouteTable,78,203,11,11,17,47,14,11,4,10
MiniSQL Master,com.minisql.master.metadata,MetadataManager,57,374,8,14,17,84,8,20,0,17
MiniSQL Master,com.minisql.master.zk,ZookeeperClient,183,45,25,1,37,9,29,3,16,3
MiniSQL Master,com.minisql.master.zk,MasterElection.new Watcher() {...},23,0,2,0,8,0,3,0,2,0
MiniSQL Master,com.minisql.master.zk,ZookeeperClient.new Watcher() {...},31,6,6,0,8,1,4,1,1,1
MiniSQL Master,com.minisql.master.zk,MasterElection,157,4,10,0,47,1,16,1,11,1
MiniSQL Master,com.minisql.master.zk,MetadataPersistence,316,0,12,0,68,0,17,0,11,0
MiniSQL Master,com.minisql.master.zk,MetadataPersistence.new TypeToken() {...},6,0,0,0,1,0,1,0,1,0
MiniSQL Master,com.minisql.master.zk,MetadataPersistence.new TypeToken() {...},6,0,0,0,1,0,1,0,1,0
MiniSQL Master,com.minisql.master.cluster,FailureRecoveryManager,158,0,12,0,45,0,11,0,5,0
MiniSQL Master,com.minisql.master.cluster,ServerInfo,183,0,2,0,40,0,21,0,20,0
MiniSQL Master,com.minisql.master.cluster,ClusterManager,62,434,10,20,15,99,11,23,1,18
MiniSQL Master,com.minisql.master.cluster,HeartbeatMonitor,148,0,12,0,48,0,14,0,8,0
MiniSQL Master,com.minisql.master.service,ClientMasterServiceImpl,648,0,22,0,244,0,23,0,12,0
MiniSQL Master,com.minisql.master.service,MasterServiceImpl,370,0,10,0,145,0,16,0,11,0
